Field,Type,Null,Key,Default,Extra
lid,int(11),NO,PRI,null,auto_increment
family_id,int(11),YES,,null,
title,varchar(128),YES,,null,
subtitle,varchar(128),YES,,null,
price,decimal(10_2),YES,,null,
promise,varchar(64),YES,,null,
spec,varchar(64),YES,,null,
lname,varchar(32),YES,,null,
os,varchar(32),YES,,null,
memory,varchar(32),YES,,null,
resolution,varchar(32),YES,,null,
video_card,varchar(32),YES,,null,
cpu,varchar(32),YES,,null,
video_memory,varchar(32),YES,,null,
category,varchar(32),YES,,null,
disk,varchar(32),YES,,null,
details,varchar(1024),YES,,null,
shelf_time,bigint(20),YES,,null,
sold_count,int(11),YES,,null,
is_onsale,tinyint(1),YES,,null,
